"AgeInYears","Population","Unvaccinated","Dose1","Dose2"
0,58059,110,2,0
1,57024,90,50,4
2,59316,21,27,0
3,60003,22,15,2
4,59952,16,4,3
5,60834,21,1,2
6,58440,19,2,2
7,56358,20,3,0
8,56073,24,3,1
9,56229,28,5,1
10,55335,24,3,1
11,56454,21,2,0
12,59061,38,3,5
13,59322,59,5,6
14,58026,44,4,2
15,60165,46,2,9
16,60606,35,2,5
17,60942,36,2,6
18,60018,25,1,0
19,62043,15,1,0
20,62709,17,0,1
21,62439,19,1,0
22,62247,11,0,1
23,59400,7,0,1
24,57687,8,0,0
25,56166,10,0,1
26,54246,9,0,1
27,53760,10,0,0
28,53247,9,0,0
29,53760,4,1,0
30,54342,10,0,0
31,53157,9,0,0
32,53121,9,0,0
33,53019,13,0,0
34,51804,12,2,0
35,51852,14,1,0
36,53160,14,1,0
37,53343,10,0,0
38,56379,10,0,0
39,58470,5,1,0
40,60792,7,0,0
41,62745,3,0,0
42,62826,1,1,0
43,62349,4,0,0
44,61872,2,0,0
45,60867,2,0,0
46,60237,NA,NA,NA
47,60483,1,0,0
48,61464,1,0,0
49,63354,4,0,0
50,64113,NA,NA,NA
51,63063,NA,NA,NA
52,62037,1,0,0
53,59193,1,0,0
54,57825,NA,NA,NA
55,56307,1,0,0
56,55671,NA,NA,NA
57,53718,2,0,0
58,52140,NA,NA,NA
59,50784,NA,NA,NA
60,50328,NA,NA,NA
61,48993,NA,NA,NA
62,48843,NA,NA,NA
63,48234,NA,NA,NA
64,47748,1,0,0
65,48672,NA,NA,NA
66,46620,NA,NA,NA
67,40155,NA,NA,NA
68,36942,NA,NA,NA
69,34722,NA,NA,NA
70,32910,NA,NA,NA
71,34416,NA,NA,NA
72,32772,NA,NA,NA
73,29166,NA,NA,NA
74,27009,NA,NA,NA
75,25086,NA,NA,NA
76,23244,NA,NA,NA
77,21306,NA,NA,NA
78,20580,NA,NA,NA
79,19089,NA,NA,NA
80,18216,NA,NA,NA
81,17688,NA,NA,NA
82,17013,NA,NA,NA
83,15270,NA,NA,NA
84,13959,NA,NA,NA
85,12546,NA,NA,NA
86,11259,NA,NA,NA
87,9855,NA,NA,NA
88,8541,NA,NA,NA
89,7179,NA,NA,NA
90,5820,NA,NA,NA
91,4908,NA,NA,NA
92,4014,NA,NA,NA
93,2715,NA,NA,NA
94,2010,NA,NA,NA
95,1491,NA,NA,NA
96,1149,NA,NA,NA
97,840,NA,NA,NA
98,555,NA,NA,NA
99,336,NA,NA,NA
100,582,NA,NA,NA
