Year,Gender,Cost,Cases,Days,Per case
2008,F,714,1,0,714
,M,"2,324",2,1,"1,162"
                    ,Total,"3,038",3,1,"1,013"
2009,F,"11,953",7,15,"1,708"
,M,"28,830",22,23,"1,310"
                    ,Total,"40,782",29,38,"1,406"
2010,F,"5,884",4,5,"1,471"
,M,817,1,0,817
                    ,Total,"6,701",5,5,"1,340"
2011,F,"103,460",66,86,"1,568"
,M,"101,842",66,103,"1,543"
                    ,Total,"205,303",132,189,"1,555"
2012,F,"13,054",8,6,"1,632"
,M,"15,486",11,6,"1,408"
                    ,Total,"28,540",19,12,"1,502"
2013,F,"1,800",1,2,"1,800"
,M,"3,530",3,4,"1,177"
                    ,Total,"5,330",4,6,"1,333"
Total,,"289,694",192,251,"1,509"
