"Population","Naive","Outbreak","Vaccination","PC"
436350,51673,3628,17583,0.34
206000,20511,811,4417,0.22
482180,50995,2549,13325,0.26
283700,32406,2063,10242,0.32
469300,55085,3778,18421,0.33
151700,15471,676,3619,0.23
138380,15078,833,4267,0.28
98196,10470,538,2798,0.27
162560,17196,860,4496,0.26
137000,12960,401,2257,0.17
151690,14793,533,2942,0.2
55620,5199,150,854,0.16
297420,31389,1557,8153,0.26
43650,4727,256,1317,0.28
109750,11378,529,2804,0.25
359310,39087,2147,11016,0.28
41112,3901,123,689,0.18
525550,57904,3312,16845,0.29
32151,3172,121,660,0.21
60120,6025,245,1328,0.22
4241739,459420,24882,128034,0.28
