"date","week","incidence"
"2011-05-28",1,7
"2011-06-04",2,3
"2011-06-11",3,15
"2011-06-18",4,5
"2011-06-25",5,16
"2011-07-02",6,13
"2011-07-09",7,12
"2011-07-16",8,5
"2011-07-23",9,16
"2011-07-30",10,10
"2011-08-06",11,2
"2011-08-13",12,5
"2011-08-20",13,0
"2011-08-27",14,6
"2011-09-03",15,5
"2011-09-10",16,19
"2011-09-17",17,35
"2011-09-24",18,21
"2011-10-01",19,23
"2011-10-08",20,20
"2011-10-15",21,16
"2011-10-22",22,19
"2011-10-29",23,8
"2011-11-05",24,37
"2011-11-12",25,19
"2011-11-19",26,25
"2011-11-26",27,16
"2011-12-03",28,22
"2011-12-10",29,18
"2011-12-17",30,11
"2011-12-24",31,8
"2011-12-31",32,11
"2012-01-07",33,9
"2012-01-14",34,5
"2012-01-21",35,3
"2012-01-28",36,0
"2012-02-04",37,2
"2012-02-11",38,3
"2012-02-18",39,3
"2012-02-25",40,4
"2012-03-03",41,0
"2012-03-10",42,1
"2012-03-17",43,1
"2012-03-24",44,2
"2012-03-31",45,1
"2012-04-07",46,0
"2012-04-14",47,0
"2012-04-21",48,2
"2012-04-28",49,0
"2012-05-05",50,0
"2012-05-12",51,0
"2012-05-19",52,0
"2012-05-26",53,0
"2012-06-02",54,0
"2012-06-09",55,1
