id,incidence,cover,immigration,risk
Afghanistan,93.4450964,81,397,37097.70327
Albania,2.84629981,98,34,96.77419355
Algeria,0.467751156,95,48,22.45205551
Andorra,0,98,23,0
Angola,214.1107536,97,1,214.1107536
Antigua and Barbuda,0,98,5,0
Argentina,0.048677197,94,7890,384.0630856
Armenia,0,97,27,0
Australia,8.63340564,94,809775,6991116.052
Austria,4.253308129,NA,7853,33401.22873
Azerbaijan,0,97,44,0
Bahamas,0,91,12,0
Bahrain,0,99,148,0
Bangladesh,12.81290323,89,1046,13402.29677
Barbados,0,90,38,0
Belarus,1.063264221,98,175,186.0712387
Belgium,9.855334539,96,5412,53337.07052
Belize,0,96,9,0
Benin,28.65386529,72,3,85.96159586
Bhutan,1.347708895,95,171,230.458221
Bolivia,0,84,66,0
Bosnia and Herzegovina,5.738132499,94,11,63.11945749
Botswana,3.493013972,99,58,202.5948104
Brazil,0.010050251,99,14778,148.5226131
Brunei Darussalam,2.427184466,99,617,1497.572816
Bulgaria,0.137400385,94,838,115.1415224
Burkina Faso,447.2660996,87,6,2683.596598
Burundi,4.974619289,93,31,154.213198
Cabo Verde,0,91,NA,NA
Cambodia,1.009081736,93,1723,1738.64783
Cameroon,28.06451613,82,11,308.7096774
Canada,0.287042884,98,54981,15781.90482
Central African Republic,31.16022099,65,NA,NA
Chad,9.640102828,69,1,9.640102828
Chile,0,90,7200,0
China,4.448201439,99,256036,1138899.704
Colombia,0.020962603,94,1816,38.06808653
Comoros,1.39275766,85,3,4.178272981
Congo,59.94927369,80,22,1318.884021
Cook Islands,0,97,NA,NA
Costa Rica,0,90,145,0
Cote d'Ivoire,6.905241935,94,8,55.24193548
Croatia,0.464360344,NA,367,170.4202461
Cuba,0,99,39,0
Cyprus,0.885739593,86,119,105.4030115
Czech Republic,2.063789869,NA,5921,12219.69981
"Korea, Democratic People's Republic of",0,99,12,0
Democratic Republic of the Congo,1096.248383,84,NA,NA
Denmark,0.357270454,90,10056,3592.711683
Djibouti,824.4186047,83,6,4946.511628
Dominica,0,99,17,0
Dominican Republic,0,88,51,0
Ecuador,4.647560031,99,137,636.7157242
Egypt,3.035108149,93,504,1529.694507
El Salvador,0,93,47,0
Equatorial Guinea,1616.847826,34,NA,NA
Eritrea,31.64247268,77,36,1139.129016
Estonia,3.098373354,94,575,1781.564679
Ethiopia,47.38959326,80,257,12179.12547
Fiji,0,90,46723,0
Finland,NA,97,4579,NA
France,NA,89,71448,NA
Gabon,1.224739743,71,2,2.449479486
Gambia,0,93,3,0
Georgia,7.11335475,93,20,142.267095
Germany,2.004830918,97,83608,167619.9034
Ghana,63.58905622,89,130,8266.577308
Greece,0.269662921,99,862,232.4494382
Grenada,0,94,4,0
Guatemala,0,93,106,0
Guinea,0.523971706,99,12,6.287660466
Guinea-Bissau,0,90,NA,NA
Guyana,0,99,12,0
Haiti,0,69,5,0
Honduras,0,93,20,0
Hungary,0.200481155,99,1913,383.5204491
Iceland,0,90,740,0
India,15.05483871,85,69038,1039355.955
Indonesia,62.70850202,84,15692,984021.8138
Iran (Islamic Republic of),4.344185073,98,1766,7671.830838
Iraq,0.457624016,83,781,357.4043566
Ireland,23.38286713,92,25036,585413.4615
Israel,27.60334903,96,4850,133876.2428
Italy,6.175576907,90,13388,82678.62363
Jamaica,0,93,148,0
Japan,1.795275591,96,86676,155607.3071
Jordan,0.428021116,98,272,116.4217435
Kazakhstan,3.380247065,96,345,1166.185238
Kenya,NA,93,445,NA
Kiribati,0,91,1003,0
Kuwait,8.307692308,99,592,4918.153846
Kyrgyzstan,0,98,32,0
Lao People's Democratic Republic,4.814926271,72,260,1251.880831
Latvia,1.45631068,90,470,684.4660194
Lebanon,1.936733376,98,153,296.3202066
Lesotho,87.23196881,60,12,1046.783626
Liberia,10.26252983,80,4,41.05011933
Libyan Arab Jamahiriya,51.99025183,98,46,2391.551584
Lithuania,0,93,571,0
Luxembourg,3.816793893,NA,227,866.4122137
Madagascar,0.089710236,85,23,2.063335427
Malawi,0.691562932,90,79,54.63347165
Malaysia,63.88508892,95,50506,3226580.301
Maldives,0,98,161,0
Mali,22.95677932,85,10,229.5677932
Malta,NA,93,312,NA
Marshall Islands,0,78,51,0
Mauritania,9.220231823,75,3,27.66069547
Mauritius,0,99,365,0
Mexico,0,99,4030,0
"Micronesia, Federated States of",0,91,50,0
Monaco,131.5789474,NA,16,2105.263158
Mongolia,0,99,174,0
Montenegro,0,90,6,0
Morocco,20.54057378,99,82,1684.32705
Mozambique,5.753283339,82,26,149.5853668
Myanmar,41.19552247,84,NA,NA
Namibia,38.06994245,76,123,4682.602922
Nauru,1100,96,75,82500
Nepal,122.370241,86,1112,136075.7079
Netherlands,0.598300826,96,33431,20001.7949
New Zealand,15.24663677,92,NA,NA
Nicaragua,0,99,16,0
Niger,15.85358746,91,2,31.70717491
Nigeria,38.14792899,78,333,12703.26036
Niue,0,99,NA,NA
Norway,0.800961153,94,4514,3615.538646
Oman,3.922751961,99,523,2051.599276
Pakistan,44.94972067,88,2004,90079.24022
Palau,0,91,31,0
Panama,0,98,95,0
Papua New Guinea,0,67,1655,0
Paraguay,0,74,71,0
Peru,0,94,608,0
Philippines,15.88302812,85,24527,389563.0306
Poland,1.858103687,98,4418,8209.102091
Portugal,2.168992833,97,1817,3941.059977
Qatar,78.01072647,97,114,8893.222818
"Korea, Republic of Korea",0.040813828,99,NA,NA
Republic of Moldova,3.1303358,91,46,143.9954468
Romania,342.4500115,94,1433,490730.8665
Russia,14.84615385,98,8103,120298.3846
Rwanda,6.545644964,99,16,104.7303194
Saint Kitts and Nevis,0,95,17,0
Saint Lucia,0,99,10,0
Saint Vincent and the Grenadines,0,94,20,0
Samoa,5.291005291,85,24547,129878.3069
San Marino,32.25806452,87,17,548.3870968
Sao Tome and Principe,0,92,NA,NA
Saudi Arabia,10.39309955,98,5466,56808.68213
Senegal,3.351304094,82,20,67.02608189
Serbia,0,87,274,0
Seychelles,0,98,95,0
Sierra Leone,113.3968891,88,7,793.7782238
Singapore,7.920045257,95,25460,201644.3523
Slovakia,0,99,1413,0
Slovenia,0.967117988,95,918,887.8143133
Solomon Islands,0,85,1451,0
Somalia,979.2054929,49,87,85190.87788
South Africa,0.610850227,99,30600,18692.01695
South Sudan,786.3997047,70,NA,NA
Spain,25.75125655,97,10104,260190.6962
Sri Lanka,2.417290738,99,5340,12908.33254
Sudan,229.1437021,85,80,18331.49617
Suriname,0,73,5,0
Swaziland,0,88,2,0
Sweden,3.154242456,97,13719,43273.05226
Switzerland,7.627860448,92,14851,113281.3555
Syrian Arab Republic,0.593878483,78,116,68.88990407
Tajikistan,1.997752528,95,25,49.94381321
Thailand,77.81687505,98,20258,1576414.255
The former Yugoslav Republic of Macedonia,3.323836657,96,NA,NA
Timor-Leste,14.36265709,73,109,1565.529623
Togo,35.82718651,72,2,71.65437302
Tonga,0,95,26717,0
Trinidad and Tobago,0,85,124,0
Tunisia,4.413793103,96,29,128
Turkey,4.716407422,96,1168,5508.763869
Turkmenistan,0,99,2,0
Tuvalu,0,98,663,0
Uganda,55.76954823,82,94,5242.337534
Ukraine,279.9472875,79,2373,664314.9132
United Arab Emirates,14.33847491,99,495,7097.545079
United Kingdom,33.32112196,93,306177,10202161.16
United Republic of Tanzania,34.9078124,97,NA,NA
United States,0.172955975,92,194438,33629.21384
Uruguay,0,96,1190,0
Uzbekistan,NA,99,114,NA
Vanuatu,0,94,3741,0
Venezuela,0.033383408,87,398,13.28659656
Viet Nam,6.365919203,96,5654,35992.90718
Yemen,91.27117223,71,18,1642.8811
Zambia,63.6589698,95,194,12349.84014
Zimbabwe,0,97,1330,0
American Samoa,NA,NA,102,NA
Bermuda,NA,NA,4,NA
British Indian Ocean Territory,NA,NA,1,NA
Cape Verde,NA,NA,1,NA
Cayman Islands,NA,NA,4,NA
Democratic Republic of Congo,NA,NA,15,NA
Hong Kong,NA,NA,19103,NA
Kosovo - Republic of,NA,NA,15,NA
Liechtenstein,NA,NA,80,NA
Macau,NA,NA,403,NA
Macedonia,NA,NA,197,NA
Martinique,NA,NA,1,NA
Burma,NA,NA,693,NA
Netherlands Antilles,NA,NA,1,NA
Palestine,NA,NA,72,NA
Reunion,NA,NA,1,NA
"Korea, Republic of",NA,NA,73459,NA
Taiwan,NA,NA,23815,NA
Tanzania,NA,NA,97,NA
Tokelau,NA,NA,2,NA
United Nations,NA,NA,226,NA
Holy See (Vatican City),NA,NA,9,NA
Yugoslavia,NA,NA,6,NA
Antarctica,NA,NA,NA,NA
Greenland,NA,NA,NA,NA
