"","NZDep","Age","Ethnicity","Population","Cases","Per capita"
"1-3 0-1 Asian","1-3","0-1","Asian",2269,6,26.4434
"4-7 0-1 Asian","4-7","0-1","Asian",3748,10,26.6809
"8-10 0-1 Asian","8-10","0-1","Asian",2583,3,11.6144
"1-3 2-4 Asian","1-3","2-4","Asian",3403,1,2.9386
"4-7 2-4 Asian","4-7","2-4","Asian",5623,0,0
"8-10 2-4 Asian","8-10","2-4","Asian",3874,0,0
"1-3 5-17 Asian","1-3","5-17","Asian",20625,6,2.9091
"4-7 5-17 Asian","4-7","5-17","Asian",29721,8,2.6917
"8-10 5-17 Asian","8-10","5-17","Asian",16777,2,1.1921
"1-3 18-24 Asian","1-3","18-24","Asian",12057,2,1.6588
"4-7 18-24 Asian","4-7","18-24","Asian",23904,3,1.255
"8-10 18-24 Asian","8-10","18-24","Asian",21063,3,1.4243
"1-3 25+ Asian","1-3","25+","Asian",54258,4,0.7372
"4-7 25+ Asian","4-7","25+","Asian",86055,11,1.2783
"8-10 25+ Asian","8-10","25+","Asian",54759,8,1.4609
"1-3 0-1 European","1-3","0-1","European",23961,40,16.6938
"4-7 0-1 European","4-7","0-1","European",28051,58,20.6766
"8-10 0-1 European","8-10","0-1","European",16866,24,14.2298
"1-3 2-4 European","1-3","2-4","European",35942,37,10.2944
"4-7 2-4 European","4-7","2-4","European",42076,22,5.2286
"8-10 2-4 European","8-10","2-4","European",25299,6,2.3716
"1-3 5-17 European","1-3","5-17","European",180875,160,8.8459
"4-7 5-17 European","4-7","5-17","European",194100,118,6.0793
"8-10 5-17 European","8-10","5-17","European",106731,40,3.7477
"1-3 18-24 European","1-3","18-24","European",63051,24,3.8064
"4-7 18-24 European","4-7","18-24","European",94422,26,2.7536
"8-10 18-24 European","8-10","18-24","European",68016,20,2.9405
"1-3 25+ European","1-3","25+","European",619698,54,0.8714
"4-7 25+ European","4-7","25+","European",734550,46,0.6262
"8-10 25+ European","8-10","25+","European",371985,29,0.7796
"1-3 0-1 Maori","1-3","0-1","Maori",3265,9,27.5651
"4-7 0-1 Maori","4-7","0-1","Maori",8378,13,15.5168
"8-10 0-1 Maori","8-10","0-1","Maori",15094,32,21.2005
"1-3 2-4 Maori","1-3","2-4","Maori",4897,4,8.1683
"4-7 2-4 Maori","4-7","2-4","Maori",12568,12,9.5481
"8-10 2-4 Maori","8-10","2-4","Maori",22642,10,4.4166
"1-3 5-17 Maori","1-3","5-17","Maori",21750,8,3.6782
"4-7 5-17 Maori","4-7","5-17","Maori",53963,33,6.1153
"8-10 5-17 Maori","8-10","5-17","Maori",94758,74,7.8094
"1-3 18-24 Maori","1-3","18-24","Maori",7329,3,4.0933
"4-7 18-24 Maori","4-7","18-24","Maori",20862,2,0.9587
"8-10 18-24 Maori","8-10","18-24","Maori",35664,8,2.2432
"1-3 25+ Maori","1-3","25+","Maori",35934,1,0.2783
"4-7 25+ Maori","4-7","25+","Maori",87192,3,0.3441
"8-10 25+ Maori","8-10","25+","Maori",140820,4,0.2841
"1-3 0-1 MLA","1-3","0-1","MLA",273,0,0
"4-7 0-1 MLA","4-7","0-1","MLA",519,2,38.5356
"8-10 0-1 MLA","8-10","0-1","MLA",553,1,18.0832
"1-3 2-4 MLA","1-3","2-4","MLA",410,0,0
"4-7 2-4 MLA","4-7","2-4","MLA",778,0,0
"8-10 2-4 MLA","8-10","2-4","MLA",830,1,12.0482
"1-3 5-17 MLA","1-3","5-17","MLA",1832,0,0
"4-7 5-17 MLA","4-7","5-17","MLA",3121,0,0
"8-10 5-17 MLA","8-10","5-17","MLA",3250,1,3.0769
"1-3 18-24 MLA","1-3","18-24","MLA",906,0,0
"4-7 18-24 MLA","4-7","18-24","MLA",1806,0,0
"8-10 18-24 MLA","8-10","18-24","MLA",2076,2,9.6339
"1-3 25+ MLA","1-3","25+","MLA",4569,0,0
"4-7 25+ MLA","4-7","25+","MLA",7452,5,6.7096
"8-10 25+ MLA","8-10","25+","MLA",6342,1,1.5768
"1-3 0-1 Pacific","1-3","0-1","Pacific",643,1,15.5521
"4-7 0-1 Pacific","4-7","0-1","Pacific",2113,6,28.3956
"8-10 0-1 Pacific","8-10","0-1","Pacific",7389,48,64.9614
"1-3 2-4 Pacific","1-3","2-4","Pacific",964,0,0
"4-7 2-4 Pacific","4-7","2-4","Pacific",3169,1,3.1556
"8-10 2-4 Pacific","8-10","2-4","Pacific",11084,10,9.022
"1-3 5-17 Pacific","1-3","5-17","Pacific",4212,2,4.7483
"4-7 5-17 Pacific","4-7","5-17","Pacific",13419,4,2.9808
"8-10 5-17 Pacific","8-10","5-17","Pacific",47165,21,4.4525
"1-3 18-24 Pacific","1-3","18-24","Pacific",1707,0,0
"4-7 18-24 Pacific","4-7","18-24","Pacific",6174,4,6.4788
"8-10 18-24 Pacific","8-10","18-24","Pacific",18189,5,2.7489
"1-3 25+ Pacific","1-3","25+","Pacific",8580,1,1.1655
"4-7 25+ Pacific","4-7","25+","Pacific",26688,3,1.1241
"8-10 25+ Pacific","8-10","25+","Pacific",74757,9,1.2039
